gid,id,team,p_seq,stattype,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,wp,lp,save,p_gs,p_gf,p_cg,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
SDN202403200,glast001,LAN,1,value,15,0,20,2,0,0,0,2,2,4,0,3,0,1,0,0,0,0,0,0,,,,1,,,20240320,0,SEO01,v,SDN,1,0,0,regular,y,y
SDN202403200,brasr001,LAN,2,value,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20240320,0,SEO01,v,SDN,1,0,0,regular,y,y
SDN202403200,hudsd001,LAN,3,value,3,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,20240320,0,SEO01,v,SDN,1,0,0,regular,y,y
SDN202403200,kellj001,LAN,4,value,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20240320,0,SEO01,v,SDN,1,0,0,regular,y,y
SDN202403200,phile001,LAN,5,value,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,1,,1,,20240320,0,SEO01,v,SDN,1,0,0,regular,y,y
SDN202403200,darvy001,SDN,1,value,11,0,17,2,0,0,0,1,0,3,0,3,0,1,0,0,1,1,0,0,,,,1,,,20240320,0,SEO01,h,LAN,0,1,0,regular,y,y
SDN202403200,cosgt001,SDN,2,value,2,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,20240320,0,SEO01,h,LAN,0,1,0,regular,y,y
SDN202403200,deloe001,SDN,3,value,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20240320,0,SEO01,h,LAN,0,1,0,regular,y,y
SDN202403200,matsy001,SDN,4,value,2,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,20240320,0,SEO01,h,LAN,0,1,0,regular,y,y
SDN202403200,peraw002,SDN,5,value,3,1,5,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,,,,,,,20240320,0,SEO01,h,LAN,0,1,0,regular,y,y
SDN202403200,britj003,SDN,6,value,1,0,3,1,0,0,0,2,2,1,0,0,0,0,0,0,1,0,0,0,,1,,,,,20240320,0,SEO01,h,LAN,0,1,0,regular,y,y
SDN202403200,morea001,SDN,7,value,2,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20240320,0,SEO01,h,LAN,0,1,0,regular,y,y
SDN202403200,estrj002,SDN,8,value,3,0,6,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,,,,,1,,20240320,0,SEO01,h,LAN,0,1,0,regular,y,y
LAN202403210,musgj001,SDN,1,value,8,0,17,7,1,0,0,5,5,2,0,2,0,0,0,0,1,0,0,0,,,,1,,,20240321,0,SEO01,v,LAN,1,0,0,regular,y,y
LAN202403210,cosgt001,SDN,2,value,1,0,3,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20240321,0,SEO01,v,LAN,1,0,0,regular,y,y
LAN202403210,kingm002,SDN,3,value,10,0,17,4,1,0,1,3,3,3,0,5,0,0,0,0,0,0,0,0,1,,,,,,20240321,0,SEO01,v,LAN,1,0,0,regular,y,y
