gid,id,team,p_seq,stattype,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,wp,lp,save,p_gs,p_gf,p_cg,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
ANA202204070,valdf001,HOU,1,value,20,0,22,2,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,1,,,1,,,20220407,0,ANA01,v,ANA,1,0,0,regular,y,y
ANA202204070,matop002,HOU,2,value,3,0,5,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,,,,,,,20220407,0,ANA01,v,ANA,1,0,0,regular,y,y
ANA202204070,nerih001,HOU,3,value,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20220407,0,ANA01,v,ANA,1,0,0,regular,y,y
ANA202204070,presr001,HOU,4,value,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,,1,,20220407,0,ANA01,v,ANA,1,0,0,regular,y,y
ANA202204070,ohtas001,ANA,1,value,14,0,19,4,2,0,0,1,1,1,0,9,0,0,0,0,0,0,0,0,,1,,1,,,20220407,0,ANA01,h,HOU,0,1,0,regular,y,y
ANA202204070,loupa001,ANA,2,value,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20220407,0,ANA01,h,HOU,0,1,0,regular,y,y
ANA202204070,warra003,ANA,3,value,3,0,6,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,20220407,0,ANA01,h,HOU,0,1,0,regular,y,y
ANA202204070,quijj001,ANA,4,value,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20220407,0,ANA01,h,HOU,0,1,0,regular,y,y
ANA202204070,teper001,ANA,5,value,3,0,5,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20220407,0,ANA01,h,HOU,0,1,0,regular,y,y
ANA202204070,brada001,ANA,6,value,3,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,1,,20220407,0,ANA01,h,HOU,0,1,0,regular,y,y
ARI202204070,darvy001,SDN,1,value,18,0,22,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,,,,1,,,20220407,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI202204070,hillt002,SDN,2,value,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20220407,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI202204070,johnp001,SDN,3,value,4,0,5,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,,,,,,,20220407,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI202204070,suarr002,SDN,4,value,0,3,3,0,0,0,0,3,3,2,0,0,1,1,0,0,0,0,0,0,,1,,,,,20220407,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI202204070,stamc001,SDN,5,value,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,,,,1,,20220407,0,PHO01,v,ARI,0,1,0,regular,y,y
